StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_006,Category_012,Category_013,Category_021,Category_022,Category_023,Category_024,Category_027,Category_028,Category_031,Category_033,Category_036,Category_037,Category_041,Category_042,Category_043,Category_045,Category_046,Category_047,Category_048,Category_049,Category_053,Category_054,Category_057,Category_058,Category_059,Category_061,Category_063,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_075,Category_076,Category_087,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
CA,06001,887,0,108,0,0,0,0,568,0,0,6650,16,2500,0,77,3501,0,0,0,0,0,0,15,0,0,0,0,2,80,12,27,0,4,0,0,5,0,0,0,43,81,0,0,92338,0,161549,159662,323012,106087,775,210,40744,334824,127720,757626,1611,19759,0,0,0,0,0,20,3,17,0,2,0,0,0,0,0,0,0,0,0,1,0,0,887,0,0,0,568,0,6650,2500,20,0
CA,06003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14120,0,6773,6001,587,21,64819,201,946835,2,1064550,24887,20,10245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06005,812,0,8,0,0,0,0,11,0,0,2920,0,488,0,3,4275,8,19,0,0,0,0,0,0,0,0,0,0,198,2,14,14,64,2,0,1337,0,0,242,39,395,0,0,25606,0,50522,16296,5072,1007,6450,84791,713142,5709,241088,578341,807,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,45,0,0,0,812,0,0,0,11,0,2920,488,0,0
CA,06007,4432,43,513163,40,749,0,0,91,0,50,21753,194,2025,0,4054,21547,296,0,29,0,0,0,3,0,2,0,354,0,216,88,66910,592,0,33,0,959,0,2171,0,157793,155820,0,0,81006,0,166941,68211,40490,9516,26587,135883,1890088,35105,313457,878985,53316,76744,3245,21,0,2,2,0,76474,17826,46,12,0,0,0,0,0,52,1,2,0,57,3,0,4435,43,40,0,91,0,21756,2025,0,0
CA,06009,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,5,0,0,57584,0,70587,17853,3348,756,1672,159671,1227931,10411,447437,983850,388,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06011,44287,1989,721030,1970,17289,28,12,602,4,0,104444,953,5969,0,41799,84588,221,0,4383,0,0,0,16,0,257,853,10962,0,525,4608,74272,6,0,19,0,2664,0,19,0,177452,73057,59,46,17228,0,85669,23713,8270,1129,7802,5736,149832,19564,745066,720508,13976,126728,9584,23,0,0,2,0,11580,6842,0,34,0,0,0,0,0,0,0,35,0,136,190,0,44477,1989,1970,0,602,4,104634,5969,0,0
CA,06013,50326,0,1481,0,494,3,7,98,0,0,18635,263,2897,0,12481,41718,95,28,20,0,0,0,0,0,0,0,491,0,2490,138,27092,0,67,5,92,4138,0,21,0,7994,7093,4,6,119815,0,248900,198672,208228,45488,1188,556,41076,182433,41980,862720,2776,48757,0,0,0,325,1,0,982,897,5,61,0,0,0,0,0,0,3,0,0,98,0,0,50326,0,0,0,98,0,18635,2897,0,0
CA,06015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22223,0,118448,11183,7355,966,6403,38552,2108901,209863,281329,87118,18942,4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06017,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217979,1,131060,65376,12824,3268,46738,93832,3243146,20685,841614,467468,80,1412,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
CA,06019,185683,883029,6104,4751,0,0,0,29066,1450,0,305905,50,25364,0,46352,541311,12528,19347,908,137,0,35,76,201,9418,10,180543,24362,84,3,678383,1,1399,6584,0,926785,0,2795,949,851220,54898,0,0,139070,2289,542979,281720,211606,53641,1220026,9358,3729444,88867,2543762,3321817,49686,33423,131971,8793,315,56725,0,27209,3800,4386,6608,3846,1,4379,22468,5809,95,5164,2,14,965,0,2725,5569,193977,883029,4751,0,29066,1450,308630,30933,27209,0
CA,06021,71621,9950,433547,156,7694,3,1,4337,735,9,44891,492,8306,0,5306,103807,64,0,602,0,0,0,302,0,8,0,944,0,2012,403,59386,44,0,0,0,1162,0,233,0,171175,75964,0,27,23902,0,115350,23171,11006,2687,28854,24945,459204,36510,675041,1261330,24957,53819,4884,134,0,0,0,0,36988,31109,10,21,0,0,0,0,0,21,2,4,0,43,1476,0,73097,9950,156,0,4337,735,46367,8306,0,0
CA,06023,0,0,20,0,0,0,0,0,0,0,0,0,83,0,0,6,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,58180,0,248451,40411,28796,2843,49388,243872,7042672,361701,880321,1325101,24243,6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
CA,06025,7180,2860,0,922,0,74,0,1648,281121,0,0,0,9204,1950,0,840737,28415,2309,0,0,483,0,4362,1657,3102,0,0,4857,0,2050,166224,0,0,0,0,0,0,0,0,0,0,0,0,894273,0,96296,226989,48627,5137,3195930,145,312,61,6487827,487042,88419,3138,0,0,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7180,2860,922,0,1648,281121,0,9204,0,0
CA,06027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20806,3694,101699,59079,6824,204,1593608,823,1523736,522,25905821,103315,24954,80627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06029,179193,357283,15,30455,0,3,0,26038,2076,0,443474,0,15876,0,1961,575097,6836,0,8458,1973,0,0,145,0,31,490,108,14,0,0,393451,0,806,2268,0,497209,0,290,5663,910510,15112,0,0,58689,0,896191,261886,228903,43777,1034411,71535,1287143,25863,9168139,6613137,30133,21628,114972,311,2780,1559,5210,0,118,0,132023,0,0,0,70,190,15,783,0,0,348,0,11205,538,190936,357283,30455,0,26038,2076,454679,16414,0,0
CA,06031,225040,607656,119,22,0,0,0,37010,54363,0,467303,0,19980,0,32786,447014,133,520,10,8,0,0,94,0,3751,22,9618,59,0,0,420723,0,74,7583,0,43957,0,798,0,136602,55523,0,0,27184,0,140171,58483,60430,11144,53406,7,663,6970,88010,847834,2469,887,72467,21253,228,12768,0,26,12,0,8,0,0,36,2476,2297,5,5217,0,0,1497,0,17386,201,242627,607656,22,0,37010,54363,484689,20181,26,0
CA,06033,0,20,75,0,0,0,0,153,0,0,56,0,42,0,0,55,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,16,0,0,30,0,0,0,0,9,0,0,200563,0,154804,25990,1739,141,6325,53411,998628,164832,1803615,406906,3769,4152,0,0,0,0,0,0,0,499,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,153,0,56,42,0,0
CA,06035,403,33,1077,0,0,0,0,5459,0,523,16455,4770,438,0,0,87812,238,0,0,0,0,0,0,0,0,0,0,3177,0,0,9363,0,0,0,0,0,0,0,0,0,0,29264,0,441856,0,83504,43209,6837,1372,26658,22,4172745,5588,7804694,774225,10820,42634,0,7847,0,0,394,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,403,33,0,0,5459,0,16455,438,0,0
CA,06037,0,8,0,9,0,0,0,2855,0,0,5,0,44,0,0,27588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54802,0,0,0,0,88,0,0,0,0,0,0,0,36111,0,958658,912329,1473780,519192,361602,482,547398,140127,5652412,1062175,5530,1448,295,0,4211,0,1,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,2855,0,5,44,0,0
CA,06039,43013,43372,72,334,0,0,0,2701,41,0,15629,0,48578,0,336,260576,1478,472,383,2,0,41,314,2,1,0,11708,781,337,0,136459,0,67,275,0,305350,0,28,1190,329795,5232,0,0,37504,1871,182840,42881,19239,3556,241672,55382,1868621,3525,671358,1685823,7534,2646,135498,91,0,21,0,387,343,24,11311,80,0,10,655,2363,0,1114,0,19,20,0,630,10312,53955,43372,334,0,2701,41,16259,58890,387,0
CA,06041,647,0,219,0,0,0,0,11,0,0,270,9,26067,0,86,622,0,0,0,0,0,0,0,0,0,9,0,0,276,18,6,0,0,0,0,9,0,4,0,1,4,0,24,17773,0,108286,57389,45487,7125,2469,10520,288409,127303,152954,637961,5114,20812,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,647,0,0,0,11,0,270,26067,0,0
CA,06043,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,28,0,0,0,0,0,0,0,25499,25,63273,4418,872,122,76806,70021,1765453,33763,1011443,1151064,1352,1646,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
CA,06045,0,0,8,0,0,0,0,13,0,0,0,0,239,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,22198,0,458526,29537,9885,1266,8797,158677,5649510,407736,2173957,1180252,4794,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,239,0,0
CA,06047,192969,298368,11844,536,0,0,0,11839,0,0,58376,57,277497,0,263,577463,2235,8162,3219,0,0,12695,452,377,0,0,106076,2171,1931,1,117734,0,83,393,0,8338,129,0,27,490821,21466,0,0,74096,0,241940,86656,43903,5512,80593,769,3029,77722,176998,2359287,16898,272692,3023,0,0,636,0,8570,187,117,41,1581,0,496,1852,355,31,23,3,69,42,0,1912,6128,201009,298368,536,0,11839,0,60288,283625,8570,0
CA,06049,0,0,1713,0,0,0,0,17539,0,55310,18263,6673,1407,0,0,170674,1910,0,0,0,0,0,10182,0,1911,807,0,14472,0,0,7079,0,0,0,0,0,0,0,0,0,0,0,0,469009,0,84980,15061,2467,114,506117,1,3416415,2,4279657,2858873,955,145438,0,5674,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,17539,0,18263,1407,0,0
CA,06051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,5736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263376,2351,31219,23008,4579,788,439600,10895,2163740,2632,5652076,375866,14404,14045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06053,47295,18126,231,5,9,7,0,32437,0,0,41661,1793,57415,0,9177,123234,2088,3751,13664,14,0,82,1033,872,2,6,42702,14063,41,491,33067,1,591,9,68,49131,4,197,11795,33105,26280,0,0,31683,0,544939,124989,85142,14879,81312,656,1232201,884047,2719021,3085063,64439,46837,128,10,242,108,0,12419,216,352,144,2688,0,11911,825,24,3005,64,22879,0,2044,0,4,775,48074,18126,5,0,32437,0,41665,58190,12419,0
CA,06055,395,3,871,0,3,0,0,42,0,0,1858,93,1217,0,430,2789,35,0,7,0,0,0,7,0,0,6,18,0,1372,7,6123,32,0,6,0,23822,0,32,0,13270,29337,0,6,125545,0,58945,43953,33393,3771,1673,32584,352086,188580,752221,551970,4198,23370,3,4,0,3,3,0,6296,9166,4,0,0,0,0,0,0,0,10,6,0,36,0,0,395,3,0,0,42,0,1858,1217,0,0
CA,06057,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37775,0,89182,35343,10519,2924,4228,131897,1806205,19290,466637,199657,11,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CA,06059,16,0,0,0,0,5,0,0,0,0,70,0,0,0,0,96,0,0,408,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,38,0,0,0,13860,0,254068,346207,605280,167226,5778,0,15421,4847,717425,162220,6610,515,31,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,70,0,0,0
CA,06061,2490,6,95436,3,52,0,0,10,0,3,15419,98,6375,0,150,10754,9,0,17,0,0,0,0,0,0,0,8,0,1668,27,37277,34,48,0,0,808,0,19,0,1291,5232,0,21,264151,0,157854,74022,60152,13265,7490,90519,2398611,26560,450181,589031,5125,5171,464,0,0,0,0,0,1598,111,0,1,0,0,0,0,0,0,0,0,0,29,0,0,2490,6,3,0,10,0,15419,6375,0,0
CA,06063,0,0,121,0,0,0,0,14,0,111,1925,3,56,0,0,28539,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,41,0,153472,0,43305,18579,3977,1589,1996,4872,5478948,789,1438489,319895,135,23853,0,47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1925,56,0,0
CA,06065,242,18841,0,6184,0,2904,0,9905,7933,0,85017,0,5867,30,0,257256,57,7,0,0,7,0,0,1882,1,0,0,2013,0,20626,403942,0,0,0,0,0,0,0,0,20,0,0,0,283479,0,762178,579433,430908,29572,1319961,3210,413965,22788,14827089,1450654,55049,1437,1629,10160,7,0,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,242,18841,6184,0,9905,7933,85017,5867,0,0
CA,06067,165745,3,18569,80,317,1,32,1221,0,0,90153,6230,11966,0,22239,141999,484,19,201,0,0,0,0,0,10,5,845,1,19355,3260,36140,414,4620,9,5556,107445,0,14096,0,661,15003,2,0,82309,0,296755,214964,274771,68812,11166,10196,1797,241,1870,1143592,19635,68032,168,137,0,3,0,0,681,2386,0,3,0,0,0,0,0,0,1,0,0,664,8,0,165753,3,80,0,1221,0,90161,11966,0,0
CA,06069,18550,182,241,0,0,0,0,6937,0,0,25844,0,37477,0,814,17809,27,522,3480,0,0,0,26,18,0,0,2556,107,0,16,12363,179,354,0,75,176,0,0,564,2386,2650,0,0,3991,0,142552,22647,14429,1678,26442,183,94218,344460,1429640,1779172,4304,1186,0,0,4,29,0,296,17,21,81,73,0,95,5,0,4,0,1833,0,823,0,0,143,18693,182,0,0,6937,0,25844,37620,296,0
CA,06071,0,0,0,0,0,0,0,4173,0,0,763,0,26,0,0,24879,0,0,0,0,0,0,0,0,0,0,0,0,0,412,10962,0,0,0,0,21,0,0,0,0,0,0,0,67164,0,836106,682703,388070,23949,6192410,645,1135268,53339,47872909,524663,28445,836,1062,858,1,0,0,0,0,0,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4173,0,763,26,0,0
CA,06073,0,0,0,0,0,1221,0,76,0,0,517,0,89,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,2837,0,0,0,0,0,0,0,0,87,0,0,0,52501,0,796766,530298,669641,175894,1017615,30,358912,102388,7100805,1319484,56112,7911,209,589,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,517,89,0,0
CA,06075,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,0,13960,14494,49249,47985,402,0,4669,686,780,787,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
CA,06077,526852,388,28664,52,77,1,18,7898,0,0,202361,9122,96876,0,39847,492284,1006,1685,609,0,0,0,429,3,3,0,9493,22,10273,8387,26202,373,44103,3568,430,410310,189,717,19,132399,310043,0,0,94286,0,174009,118267,162289,53443,11232,1474,796,26767,74619,922118,21858,56675,100,386,0,168,0,15,219,13622,0,9,0,0,241,0,0,0,168,0,1652,21,1981,1040,529873,388,52,0,7898,0,204342,97916,15,0
CA,06079,3367,797,0,174,0,0,0,67983,30,0,8567,32,17434,0,1441,10158,7,88,21096,0,0,0,83,448,1417,1849,1466,38,0,16,101411,0,10,79,4,30245,0,4,39,8678,190,0,0,33994,0,426648,86732,44930,2308,206413,1875,435122,669990,2341515,4973786,20416,22353,2380,17,3351,150,0,12,302,14,250,1,1773,285,0,9,185,306,0,691,95,0,201,20,3588,797,174,0,67983,30,8768,17454,12,0
CA,06081,82,0,444,0,0,1,0,72,3,0,931,1,311,0,1,708,0,0,0,0,0,0,1913,0,0,112,0,0,0,0,496,0,0,0,0,16,0,0,0,45,52,0,0,26680,0,154733,99479,119353,41815,2045,1141,325395,280539,58498,170170,3979,19809,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,82,0,0,0,72,3,931,311,0,0
CA,06083,5516,1604,0,13,0,0,0,135,85,0,17004,0,1018,0,191,21993,0,0,44920,0,0,0,1,0,3900,3684,59,4,0,0,19116,0,24,55,0,3403,0,23,35,3253,799,0,0,23604,0,365550,118551,67675,2824,63726,56,876314,779126,3576648,1837257,25339,23094,8209,26,7992,67,0,1,0,0,815,0,6652,0,0,28,2,782,1,1296,46,0,304,3,5823,1604,13,0,135,85,17308,1021,1,0
CA,06085,11267,469,29,0,0,1,0,46,0,0,9242,4,17047,0,504,14227,0,273,1523,0,0,0,26,5,0,0,1590,52,25,0,1413,7,758,0,0,58,0,0,76,1555,2000,0,0,52351,0,277846,249791,381539,92090,1934,97,277204,959784,630333,737146,2170,11110,14,0,0,3,0,247,19,320,0,1,0,3,42,0,0,0,1629,0,162,0,7,50,11324,469,0,0,46,0,9249,17097,247,0
CA,06087,3024,87,494,0,0,23,0,231,0,0,2064,35,2628,0,1769,8988,6,0,76,0,0,0,263,0,0,0,1118,41,0,0,95,1,220,6,0,150,0,20,22,489,2669,0,0,2754,0,154186,47800,40772,8264,1454,513,657924,175657,44229,113720,3016,7498,0,0,0,2,0,4,62,102,32,0,0,0,0,0,0,0,2784,0,67,0,0,0,3024,87,0,0,231,0,2064,2628,4,0
CA,06089,33,32,28715,0,0,0,0,579,6,1649,4685,12,208,0,4,6588,0,0,3,0,0,0,0,0,0,0,0,11658,5,0,20914,9,8,0,0,398,0,0,0,1057,2536,150,0,178970,1,271964,62278,27915,6877,98047,188659,6190901,181316,2417174,1346465,11872,2134,8,1357,0,0,131,0,294,6795,0,0,0,0,0,0,0,0,344,0,0,0,0,0,33,32,0,0,579,6,4685,208,0,0
CA,06091,0,0,0,0,0,0,0,0,0,273,379,0,0,0,0,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,20460,0,16503,6494,880,121,859,4543,1772091,2868,788004,146449,6,3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0
CA,06093,0,0,128,0,0,0,0,49770,0,54583,14682,11500,3005,0,0,253700,600,0,0,0,0,0,6950,0,1963,4,0,8845,0,0,34999,0,0,0,0,0,0,0,0,0,0,64,0,117205,11594,367278,68041,12636,877,285668,54560,11486227,52035,3419843,1807345,567,123211,0,7142,5,0,0,0,0,4,0,0,0,0,0,0,0,0,8384,0,0,0,0,0,0,0,0,0,49770,0,14682,3005,0,0
CA,06095,66554,1085,11476,228,9405,197,164,930,4,92,155184,19718,14255,0,24254,178513,1469,3,5790,0,0,0,3,0,37,1168,14165,0,62668,1565,32628,6,3,4,924,7113,0,1342,0,21190,47607,24,0,199871,0,96395,67410,112866,27091,3246,5431,24089,33734,74196,941963,3413,280018,117,990,0,1,66,0,8114,1579,0,48,0,0,0,0,0,0,0,46,0,294,0,0,66554,1085,228,0,930,4,155184,14255,0,0
CA,06097,1275,68,2875,0,18,0,0,436,12,0,10011,609,34709,0,360,13434,211,0,66,0,0,0,8,0,4,0,3,0,1392,159,3194,23,0,4,0,62975,0,36,0,9671,14364,4,50,34688,0,253488,126755,95337,10878,8317,67354,1382289,361345,690649,1324641,19126,33890,218,3,0,5,1,0,3980,6658,16,0,0,0,0,0,0,0,3,0,0,176,4,0,1279,68,0,0,436,12,10015,34709,0,0
CA,06099,67164,9551,8744,0,0,0,0,4036,0,0,28413,19023,176108,0,1693,330687,952,691,21756,0,0,471,5,39,0,15,42348,133,126109,80,23116,101,3350,440,49,12428,5044,273,497,440509,92342,0,0,44451,0,184045,99981,110481,26931,38129,3310,2888,204556,458491,1631035,27411,59837,120,0,0,0,0,1958,80,253,0,161,0,30,0,0,0,57,147,1,9694,0,6265,28683,102112,9551,0,0,4036,0,34678,204791,1958,0
CA,06101,54644,2036,565201,1184,7158,8,574,3,0,3,100932,3512,2863,0,45280,64313,570,0,8921,0,0,0,0,0,370,5859,9518,0,3994,107,75579,4,0,76,0,2986,0,51,0,32997,142224,283,0,14813,0,70580,35191,21062,4174,1438,3635,1543,1968,17116,252845,23122,67627,286,629,0,0,0,0,99907,81,15,652,0,0,0,0,0,5,4,227,0,2909,0,0,54644,2036,1184,0,3,0,100932,2863,0,0
CA,06103,6667,1064,4962,178,320,0,0,9374,132,6,9039,6,12345,0,1287,29822,68,0,464,0,0,0,31,0,0,0,63,0,1834,230,7501,10,0,0,0,892,0,48,0,44068,54644,0,481,27063,10,207633,29660,11964,3603,21938,80974,2057457,73713,2078785,3599369,39661,4918,1553,25,0,0,1,0,30019,69105,21,0,0,0,0,0,0,0,0,0,0,0,79,0,6746,1064,178,0,9374,132,9118,12345,0,0
CA,06105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,43,0,0,0,0,0,0,0,77916,14781,250393,7903,478,39,26974,120482,6435366,108697,1942060,245194,262,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06107,200873,85768,16,1476,0,0,0,2809,12300,0,374612,0,56438,0,2170,572477,428,0,56,76,0,0,291,0,1,294,154,0,0,0,178230,0,725,5375,0,323660,0,343,548,532534,112362,0,0,31701,244,266553,89570,95260,15020,664417,56648,4232069,3730,2778397,2783847,31760,3180,187848,8035,524,0,4,0,8134,29076,63337,0,0,8,21,2667,1,1141,0,0,121,0,105122,2059,308054,85768,1476,0,2809,12300,479734,58497,0,0
CA,06109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121694,1144,64740,18159,3745,1610,557152,74588,3197622,2155,1807872,699976,66,6932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06111,7706,1134,1118,1785,0,0,0,23,537,0,37625,16,523,0,20,55925,0,218,4610,6,0,0,15,0,1159,478,171,2,0,0,1613,0,143,625,0,3660,0,17,318,2100,6029,0,0,22700,0,312413,206723,170979,11361,55055,130,734420,353191,2622820,675076,18173,12042,9768,136,48,0,8,289,115,54,10048,0,19,7,6,348,0,300,0,44,39,0,768,0,8474,1134,1785,0,23,537,38393,523,289,0
CA,06113,93925,717,217697,1205,43343,38,259,1686,52,7,220200,994,19381,0,97159,306002,2704,4,3369,0,0,0,0,0,33,1987,42591,0,34377,2584,97662,24,25,0,731,44097,0,1790,0,47566,76841,577,4,34032,0,92428,39032,46786,14076,14103,5854,34878,26251,340180,842202,7050,62405,975,3128,0,2,10,0,11231,9653,92,278,0,0,0,0,0,0,3,34,0,382,7,0,93932,717,1205,0,1686,52,220207,19381,0,0
CA,06115,4653,3,180658,92,166,1,0,66,0,0,11369,1373,2122,0,2765,12372,71,0,52,0,0,0,0,0,1,2,74,0,903,235,26362,3,0,241,0,1023,0,385,0,24860,72181,144,0,35360,0,86602,14026,10765,2749,38251,101254,560884,10955,75917,503550,14178,25390,184,29,0,1,2,0,29038,106,1,2,0,0,0,0,0,144,2,40,0,69,0,0,4653,3,92,0,66,0,11369,2122,0,0
